-1,1,1,-1,1,
-2,2,0,-2,0,
-1,3,-1,-3,1,
-2,4,-2,-4,0,
-3,3,-3,-3,-1,
-4,4,-2,-4,-2,
-3,5,-3,-5,-3,
-2,4,-4,-4,-4,
-3,3,-5,-3,-5,
-2,2,-6,-4,-6,
-1,3,-5,-5,-5,
0,2,-6,-6,-4,
-1,3,-7,-7,-5,
0,4,-8,-6,-6,
1,5,-9,-7,-5,
2,6,-10,-8,-4,
1,7,-11,-7,-5,
0,6,-10,-8,-4,
-1,7,-9,-9,-3,
0,8,-10,-8,-4,
-1,9,-11,-7,-5,
-2,10,-12,-8,-6,
-1,11,-13,-9,-5,
-2,12,-14,-10,-6,
-1,13,-15,-9,-7,
-2,14,-16,-10,-6,
-3,13,-17,-11,-7,
-2,12,-18,-10,-6,
-3,11,-19,-11,-5,
-4,10,-18,-10,-6,
-5,9,-17,-9,-7,
-4,10,-16,-10,-8,
-3,11,-15,-9,-9,
-2,12,-14,-8,-10,
-1,13,-13,-9,-9,
-2,12,-12,-8,-8,
-3,13,-13,-9,-9,
-2,14,-12,-10,-8,
-3,15,-11,-11,-7,
-4,14,-10,-10,-8,
-3,15,-11,-11,-9,
-2,14,-12,-10,-10,
-3,15,-11,-11,-9,
-2,14,-12,-10,-8,
-3,15,-11,-9,-9,
-2,14,-12,-8,-10,
-3,15,-11,-9,-11,
-2,14,-12,-10,-12,
-3,15,-11,-9,-11,
-4,16,-12,-10,-12,
-3,17,-11,-11,-11,
-2,18,-10,-10,-12,
-3,17,-11,-9,-13,
-4,18,-12,-8,-14,
-3,19,-11,-7,-13,
-4,20,-10,-8,-12,
-3,19,-9,-7,-11,
-2,20,-10,-8,-12,
-3,19,-9,-9,-11,
-4,20,-8,-10,-12,
-3,21,-9,-9,-13,
-2,22,-8,-8,-12,
-3,21,-9,-7,-11,
-4,22,-10,-6,-12,
-3,23,-9,-7,-13,
-2,24,-8,-8,-12,
-3,23,-7,-7,-11,
-4,22,-6,-8,-12,
-5,23,-5,-7,-11,
-4,24,-6,-8,-12,
-5,23,-7,-9,-11,
-4,24,-6,-8,-12,
-3,25,-7,-7,-13,
-2,24,-6,-6,-14,
-3,23,-5,-7,-15,
-4,24,-6,-8,-14,
-3,25,-5,-9,-15,
-4,24,-4,-8,-14,
-3,25,-3,-9,-15,
-2,26,-4,-8,-14,
-3,25,-3,-9,-13,
-4,26,-2,-8,-12,
-3,27,-3,-7,-11,
-2,26,-4,-8,-10,
-1,25,-5,-7,-9,
0,24,-6,-6,-10,
-1,23,-7,-7,-9,
-2,22,-8,-8,-10,
-1,23,-9,-7,-11,
0,24,-8,-6,-12,
-1,25,-7,-7,-13,
-2,26,-6,-8,-14,
-1,25,-7,-7,-15,
-2,26,-8,-6,-16,
-1,27,-7,-7,-17,
-2,28,-8,-6,-16,
-3,27,-9,-7,-15,
-4,26,-8,-8,-14,
-3,27,-7,-7,-15,
-2,26,-8,-6,-14,
